Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Dispatch Time (product.metafields.mc-facebook.google_product_category),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rosewood-bloom-cotton-salwar-set,Rosewood Bloom Cotton Salwar Set-PI : ICS00118,"",Invi Creation,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,salwar suit set,"cotton kurthi, cotton maxi, cotton wear, daily wear, daily wear kurthi, invi creation, kurthi online, kurthi set, office wear kurti, printed kurthi, pure cotton, salwar suit set, temp-new, women kurthi, womens suit set",true,Size,xs,product.metafields.shopify.size,Top Length*,38,,Feeding Options,Non-feeding,,ICS00118,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0962/7654/5900/files/118.jpg?v=1780665738,1,"",false,,,5388,,adults,hand-wash; machine-washable; ironing-instructions,,,,cotton,round; v-neck; square,xs; s; m; l; xl; 2xl; 3xl; 4xl; 5xl,,short; long; sleeveless,female,long; medium,,kg,,,active
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,38,,,Centre Feeding (+ Rs. 50.00),,ICS00119,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,38,,,Both Side Feeding (+ Rs. 100.00),,ICS00120,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,39,,,Non-feeding,,ICS00121,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,39,,,Centre Feeding (+ Rs. 50.00),,ICS00122,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,39,,,Both Side Feeding (+ Rs. 100.00),,ICS00123,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,40,,,Non-feeding,,ICS00124,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,40,,,Centre Feeding (+ Rs. 50.00),,ICS00125,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,40,,,Both Side Feeding (+ Rs. 100.00),,ICS00126,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,41,,,Non-feeding,,ICS00127,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,41,,,Centre Feeding (+ Rs. 50.00),,ICS00128,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,41,,,Both Side Feeding (+ Rs. 100.00),,ICS00129,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,42,,,Non-feeding,,ICS00130,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,42,,,Centre Feeding (+ Rs. 50.00),,ICS00131,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,42,,,Both Side Feeding (+ Rs. 100.00),,ICS00132,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,43,,,Non-feeding,,ICS00133,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,43,,,Centre Feeding (+ Rs. 50.00),,ICS00134,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,xs,,,43,,,Both Side Feeding (+ Rs. 100.00),,ICS00135,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,38,,,Non-feeding,,ICS00136,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,38,,,Centre Feeding (+ Rs. 50.00),,ICS00137,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,38,,,Both Side Feeding (+ Rs. 100.00),,ICS00138,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,39,,,Non-feeding,,ICS00139,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,39,,,Centre Feeding (+ Rs. 50.00),,ICS00140,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,39,,,Both Side Feeding (+ Rs. 100.00),,ICS00141,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,40,,,Non-feeding,,ICS00142,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,40,,,Centre Feeding (+ Rs. 50.00),,ICS00143,700.0,shopify,6,deny,manual,1649.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,40,,,Both Side Feeding (+ Rs. 100.00),,ICS00144,700.0,shopify,6,deny,manual,1699.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
rosewood-bloom-cotton-salwar-set,,,,,,,,,s,,,41,,,Non-feeding,,ICS00145,700.0,shopify,6,deny,manual,1599.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
